,MTFCC,OID,LNDMRKNS,BASENAME,NAME,LSADC,FUNCSTAT,AREALAND,AREAWATER,CENTLAT,CENTLON,INTPTLAT,INTPTLON,Street Address,City,State,Zip Code
61,K1235,1104485350717,,Alabama Department of Youth Services Vacca,Alabama Department of Youth Services Vacca Cmps,,,474372,,33.5871659,-86.7119642,33.5871659,-86.7119642,8950 Roebuck Boulevard,Birmingham,AL,35206
62,K1237,1104492484114,,Alabama Therapeutic Education,Alabama Therapeutic Education Faclty,,,26379,,33.1809336,-86.6240509,33.1809336,-86.6240509,112 Industrial Parkway,Columbiana,AL,35051
63,K1236,1104486334760,,Alabaster,Alabaster Police Dept,,,4132,,33.2454015,-86.8162411,33.2454015,-86.8162411,201 1st Street North,Alabaster,AL,35007
64,K1236,1104475514548,,Alachua County,Alachua County Jail,,,109578,12331.0,29.6777676,-82.2792797,29.6778768,-82.2792666,3371 Northeast 39th Avenue,Gainesville,FL,32609
65,K1235,1104475522041,,Alachua Regional Juvenile Detention,Alachua Regional Juvenile Detention Faclty,,,1121989,,29.6796909,-82.2668903,29.6796909,-82.2668903,3430 Northeast 39th Avenue,Gainesville,FL,32609
66,K1236,1104746299085,,Alamance County,Alamance County Detention Ctr,,,10904,,36.0684226,-79.4030453,36.0684226,-79.4030453,109 South Maple Street,Graham,NC,27253
67,K1235,1104473886564,,Alameda County Juvenile Justice,Alameda County Juvenile Justice Ctr,,,130204,,37.7160441,-122.1192218,37.7160441,-122.1192218,2400 Fairmont Drive,San Leandro,CA,94578
68,K1236,1104493264642,,Alamosa County Sheriff's,Alamosa County Sheriff's Ofc,,,24290,,37.4553745,-105.8761132,37.4553745,-105.8761132,1315 17th Street,Alamosa,CO,81101
69,K1236,1104699104096,,Albany County,Albany County Corr Faclty,,,82514,,42.7514936,-73.8161056,42.7514936,-73.8161056,840 Albany Shaker Road,Albany,NY,12211
70,K1236,1104469084871,,Albany County,Albany County Jail,,,5658,,41.3113421,-105.5912249,41.3113421,-105.5912249,420 East Ivinson Avenue,Laramie,WY,82070
71,K1235,1104692862631,,Albany Regional Youth,Albany Regional Youth Detention Ctr,,,20464,,31.5533789,-84.1689055,31.5533789,-84.1689055,2030 Newton Road,Albany,GA,31701
72,K1237,1104692864093,,Albany Transitional,Albany Transitional Ctr,,,3973,,31.5803742,-84.1511617,31.5803742,-84.1511617,304 North Washington Street,Albany,GA,31701
73,K1237,1104691862631,,Albemarle Correctional,Albemarle Correctional Instn,,,190841,,35.416218,-80.137504,35.416218,-80.137504,44150 Airport Road,New London,NC,28127
74,K1236,1104691818589,,Albemarle District Regional,Albemarle District Regional Jail,,,7811,,36.2982595,-76.2410224,36.2982595,-76.2410224,320 South Hughes Boulevard,Elizabeth City,NC,27909
75,K1236,1104690894166,,Albemarle-Charlottesville Regional,Albemarle-Charlottesville Regional Jail,,,56971,,38.0063651,-78.4951569,38.0063651,-78.4951569,160 Peregory Lane,Charlottesville,VA,22902
76,K1237,1104474409043,,Albert C Wagner Youth,Albert C Wagner Youth Corr Faclty,,,415157,,40.159366,-74.6694854,40.159366,-74.6694854, Unnamed Road,,NJ,08515
77,K1235,1104485427414,,Albert Elias Residential Community,Albert Elias Residential Community Home,,,663023,,40.4245376,-74.7667888,40.4245376,-74.7667888, ,Hopewell,NJ,08525
78,K1236,1104486429223,,Albertville,Albertville Police Dept,,,4421,,34.2667642,-86.2097491,34.2667642,-86.2097491,201 South Broad Street,Albertville,AL,35950
79,K1237,1104714905525,,Albion,Albion Corr Faclty,,,437271,,43.2447401,-78.2144918,43.2447401,-78.2144918,13512 Albion Eagle Harbor Road,Albion,NY,14411
80,K1238,1104691156430,,Alcohol and Drug Addiction Partnership Treatment,Alcohol and Drug Addiction Partnership Treatment,,,29512,,39.134165,-84.5018817,39.134165,-84.5018817,3033 Burnet Avenue,Cincinnati,OH,45219
81,K1236,1104492950584,,Alcona County Sheriff's,Alcona County Sheriff's Dept,,,9082,,44.6568596,-83.2972554,44.6568596,-83.2972554,214 West Main Street,Harrisville,MI,48740
82,K1237,1104690712998,,Alcorn County Community Work,Alcorn County Community Work Ctr,,,7792,,34.9084407,-88.5564058,34.9084407,-88.5564058,2861 South Harper Road,Corinth,MS,38834
83,K1236,1104690713185,,Alcorn County Criminal Justice,Alcorn County Criminal Justice Ctr,,,15579,,34.9294436,-88.5237722,34.9294436,-88.5237722,305 South Fulton Drive,Corinth,MS,38834
84,K1235,1104690713313,,Alcorn County Juvenile,Alcorn County Juvenile Detention Ctr,,,9152,,34.909764,-88.5565027,34.909764,-88.5565027,2861 South Harper Road,Corinth,MS,38834
85,K1236,1104742563653,,Alcorn County Regional Correctional,Alcorn County Regional Correctional Ctr,,,109405,,34.9096418,-88.552188,34.9096418,-88.552188,2833 South Harper Road,Corinth,MS,38834
86,K1237,1104471295619,,Alder Conservation,Alder Conservation Cp,,,44433,,41.5011524,-124.0618274,41.5011524,-124.0618274, Unnamed Road,Klamath,CA,95548
87,K1237,1104471224850,,Alderson Federal Prison,Alderson Federal Prison Cp,,,633998,,37.7240166,-80.6673556,37.7240166,-80.6673556, Unnamed Road,Alderson,WV,24910
88,K1237,1104484223239,,Alexander A Farrelly Justice,Alexander A Farrelly Justice Ctr,,,6124,,18.3407369,-64.9275729,18.3407369,-64.9275729, ,Charlotte Amalie,St Thomas,00802
89,K1237,1104690880110,,Alexander Correctional,Alexander Correctional Instn,,,590618,,35.8833196,-81.1761355,35.8833196,-81.1761355,634 Old Landfill Road,Township of Taylorsville,NC,28681
90,K1236,1104690880257,,Alexander County,Alexander County Courthouse,,,8343,,35.9223681,-81.1757108,35.9223681,-81.1757108,29 West Main Avenue,Township of Taylorsville,NC,28681
91,K1235,1104690882015,,Alexander County Juvenile,Alexander County Juvenile Detention Ctr,,,15744,,35.9084136,-81.1784125,35.9084136,-81.1784125,928 North Carolina 16,Township of Taylorsville,NC,28681
92,K1236,1104485562110,,Alexander,Alexander Police Dept,,,1819,,32.9442717,-85.9535914,32.9442717,-85.9535914,4 Court Square,Alexander City,AL,35010
93,K1237,1104485055876,,Alexander Work Release,Alexander Work Release Ctr,,,134249,,32.9010012,-86.0126643,32.9010012,-86.0126643,1500 Alabama 22,Alexander City,AL,35010
94,K1236,1104692125094,,Alexandria,Alexandria Detention Ctr,,,32475,,38.7978578,-77.0642492,38.7978578,-77.0642492,2001 Mill Road,Alexandria,VA,22314
95,K1236,1104692858128,,Alfalfa County,Alfalfa County Jail,,,6409,,36.7551872,-98.3567092,36.7551872,-98.3567092,300 South Grand Avenue,Cherokee,OK,73728
96,K1237,1104476009420,,Alfred D Hughes Unit,Alfred D Hughes Unit,,,293397,,31.487862,-97.7039383,31.487862,-97.7039383,3201 Farm to Market Road 929,Gatesville,TX,76528
97,K1235,1104471401985,,Alfred D Noyes Children's,Alfred D Noyes Children's Ctr,,,29901,,39.1026966,-77.2049392,39.1026966,-77.2049392, ,,MD,20850
98,K1237,1104492950919,,Alger,Alger Corr Faclty,,,220082,,46.3782885,-86.6391631,46.3782885,-86.6391631,n6141 Industrial Park Drive,Munising,MI,49862
99,K1236,1104492951033,,Alger County Sheriff's,Alger County Sheriff's Dept,,,2598,,46.4074071,-86.6580352,46.4074071,-86.6580352,101 East Varnum Street,Munising,MI,49862
100,K1237,1104492656702,,Algoa Correctional,Algoa Correctional Ctr,,,355319,,38.5516708,-92.0522017,38.5516708,-92.0522017,8501 No More Victims Road,Jefferson City,MO,65101
101,K1236,1104474129715,,Alhambra City,Alhambra City Jail,,,13373,,34.0918719,-118.1266376,34.0918719,-118.1266376,211 South 1st Street,Alhambra,CA,91801
102,K1236,1104486598390,,Allamakee County,Allamakee County Courthouse,,,9040,,43.2705967,-91.476135,43.2705967,-91.476135,110 Allamakee Street Northwest,Waukon,IA,52172
103,K1237,1104481002969,,Allan B Polunsky Unit,Allan B Polunsky Unit,,,333613,,30.6983716,-95.0147092,30.6983716,-95.0147092,3872 Farm to Market 350,Livingston,TX,77351
104,K1235,1104492951379,,Allegan County Juvenile,Allegan County Juvenile Detention Ctr,,,20040,,42.5820118,-85.8686216,42.5820118,-85.8686216,3283 122nd Avenue,Allegan,MI,49010
105,K1236,1104492951765,,Allegan County Sheriff's,Allegan County Sheriff's Dept,,,6524,,42.5283486,-85.8523107,42.5283486,-85.8523107,112 North Walnut Street,Allegan,MI,49010
106,K1236,1104469139828,,Allegany County,Allegany County Detention Ctr,,,51310,,39.5991835,-78.8230322,39.5991835,-78.8230322,14300 McMullen Highway Southwest,Cumberland,MD,21502
107,K1236,1104699212411,,Allegany County,Allegany County Jail,,,23843,,42.2247842,-78.0333588,42.2247842,-78.0333588,7 Court Street,Belmont,NY,14813
108,K1236,1104690884277,,Alleghany County,Alleghany County Jail,,,6777,,36.5067397,-81.1203193,36.5067397,-81.1203193,40 Alleghany Street,Sparta,NC,28675
109,K1236,1104692512653,,Allegheny County,Allegheny County Jail,,,83541,,40.4344058,-79.9927487,40.4344058,-79.9927487,362 Three Rivers Heritage Trail,Pittsburgh,PA,15282
110,K1236,1104692166050,,Allegheny Regional,Allegheny Regional Jail,,,2719,,37.7925866,-79.995826,37.7925866,-79.995826,268 West Main Street,Covington,VA,24426
111,K1237,1104474984708,,Allen Correctional,Allen Correctional Ctr,,,1538408,21912.0,30.5622943,-92.790431,30.5623627,-92.7904279, Unnamed Road,Kinder,LA,70648
112,K1237,1104493892418,,Allen Correctional,Allen Correctional Instn,,,364210,,40.7751673,-84.0996846,40.7751673,-84.0996846,2338 North West Street,Lima,OH,45801
113,K1236,1104488153548,,Allen County,Allen County Courthouse,,,34675,,37.9222293,-95.4044302,37.9222293,-95.4044302, ,Iola,KS,66749
114,K1236,1104699534899,,Allen County,Allen County Detention Ctr,,,13319,,36.7486507,-86.1919721,36.7486507,-86.1919721,196 West Wood Street,Scottsville,KY,42164
115,K1236,1104490178401,,Allen County,Allen County Jail,,,18697,,41.0830868,-85.1398483,41.0830868,-85.1398483,417 South Calhoun Street,Fort Wayne,IN,46802
116,K1236,1104493140027,,Allen County Justice,Allen County Justice Ctr,,,5598,,40.7437104,-84.105447,40.7437104,-84.105447,333 North Main Street,Lima,OH,45801
117,K1235,1104490180717,,Allen County Juvenile,Allen County Juvenile Ctr,,,29807,,41.1033154,-85.148288,41.1033154,-85.148288,2929 North Wells Street,Fort Wayne,IN,46808
118,K1236,1104474989540,,Allen Parish,Allen Parish Jail,,,1935,,30.6205819,-92.7684196,30.6205819,-92.7684196,400 West 6th Avenue,Oberlin,LA,70655
119,K1236,1104690686472,,Allen Park,Allen Park Police Dept,,,12484,,42.26408,-83.2190175,42.26408,-83.2190175,16850 Southfield Road,Allen Park,MI,48101
120,K1236,1104475818271,,Allen Police Hq,Allen Police Hq,,,4384,,33.10134,-96.6729547,33.10134,-96.6729547,205 West McDermott Drive,Allen,TX,75013
121,K1237,1104691897142,,Allendale Correctional,Allendale Correctional Instn,,,240970,,32.968251,-81.2686448,32.968251,-81.2686448, ,Fairfax,SC,29827
122,K1236,1104691897263,,Allendale County,Allendale County Jail,,,15036,,32.9895844,-81.2857678,32.9895844,-81.2857678,160 Law Enforcement Court,Fairfax,SC,29827
123,K1237,1104696173160,,Allentown Community Corrections,Allentown Community Corrections Ctr,,,825,,40.602363,-75.4700292,40.602363,-75.4700292,608-610 Hamilton Street,Allentown,PA,18101
124,K1237,1104748219911,,Allenwood Federal Correctional,Allenwood Federal Correctional Complx,,,8923616,137327.0,41.1588558,-76.9283909,41.1565497,-76.9254856, Unnamed Road,Montgomery,PA,17752
125,K1237,1104748219906,,Allenwood Federal Correctional,Allenwood Federal Correctional Complx,,,7690390,199230.0,41.1289361,-76.9300433,41.1291859,-76.932877,1369 Main Access Road,Allenwood,PA,17810
126,K1236,1104492953654,,Alpena County,Alpena County Jail,,,24156,,45.0793325,-83.4505478,45.0793325,-83.4505478,320 Johnson Street,Alpena,MI,49707
127,K1235,1104492684259,,Alpha House Springfield,Alpha House Springfield,,,6054,,37.2247901,-93.2499629,37.2247901,-93.2499629,2300 East Division Street,Springfield,MO,65803
128,K1238,1104475390593,,Alpha,Alpha Hse,,,3942,,45.7804651,-108.5100141,45.7804651,-108.5100141,104 North 31st Street,Billings,MT,59101
129,K1236,1104692884565,,Alpharetta Detention Annex,Alpharetta Detention Annex,,,24902,,34.0685552,-84.2843037,34.0685552,-84.2843037,2565 Old Milton Parkway,Alpharetta,GA,30009
130,K1238,1104689773755,,Alternative Directions Probation Residential,Alternative Directions Probation Residential Ctr,,,6677,,42.9325414,-85.6662957,42.9325414,-85.6662957,1706 Brown Street Southeast,Grand Rapids,MI,49507
131,K1237,1104711146902,,Altona,Altona Corr Faclty,,,160843,,44.8916989,-73.6594497,44.8916989,-73.6594497,555 Devils Den Road,Altona,NY,12910
132,K1237,1104699095372,,Altus Community Work,Altus Community Work Ctr,,,7363,,34.6375418,-99.3372595,34.6375418,-99.3372595,310 West Broadway Street,Altus,OK,73521
133,K1236,1104692253058,,Alvin S Glenn,Alvin S Glenn Detention Ctr,,,90049,,33.9232078,-80.947797,33.9232078,-80.947797,201 John Mark Dial Drive,Columbia,SC,29209
134,K1238,1104691908156,,Alvis,Alvis Hse,,,10552,,39.9308027,-82.9428093,39.9308027,-82.9428093,1755 Alum Creek Drive,Columbus,OH,43207
135,K1236,1104473996504,,Amador County,Amador County Jail,,,10600,,38.3515201,-120.7692949,38.3515201,-120.7692949,700 Court Street,Jackson,CA,95642
136,K1235,1104492921654,,Amador R Rodriguez Boot Camp and Educational,Amador R Rodriguez Boot Camp and Educational Ctr,,,11204,,26.1313065,-97.6286237,26.1313065,-97.6286237,240 North Crockett Street,San Benito,TX,78586
137,K1236,1104481000402,,Amarillo City,Amarillo City Jail,,,10396,,35.2099909,-101.8347251,35.2099909,-101.8347251,303 South Taylor Street,Amarillo,TX,79101
138,K1236,1104692750227,,Amherst County Adult,Amherst County Adult Detention Ctr,,,178756,,37.4090553,-79.0921866,37.4090553,-79.0921866,219 South Riverview Road,Madison Heights,VA,24572
139,K1235,1104692493002,,Amikids Baxley,Amikids Baxley Wilderness,,,34424,,31.9410456,-82.3828635,31.9410456,-82.3828635,1510 Deen's Landing Road,Baxley,GA,31513
140,K1235,1104484409625,,Amikids Miami-Dade South,Amikids Miami-Dade South,,,47444,,25.5619942,-80.3694527,25.5619942,-80.3694527,11000 Southwest 220th Street,Miami,FL,33170
141,K1235,1104692532037,,Amikids Middle Georgia,Amikids Middle Georgia,,,133981,,32.4338148,-83.4289337,32.4338148,-83.4289337,1069 Red Dog Farm Road,Cochran,GA,31014
142,K1235,1104483740023,,Amikids Youth Environmental Services,Amikids Youth Environmental Services,,,56435,,27.6542528,-82.3215173,27.6542528,-82.3215173,4337 Saffold Road,Wimauma,FL,33598
143,K1236,1104481589515,,Amite City,Amite City Jail,,,3856,,30.7270367,-90.5040555,30.7270367,-90.5040555,313 East Oak Street,Amite City,LA,70422
144,K1236,1104690713984,,Amite County Law Enforcement,Amite County Law Enforcement Complx,,,11682,,31.1566379,-90.8105798,31.1566379,-90.8105798,243 South Broad Street,Liberty,MS,39645
145,K1236,1104475411454,,Anaconda-Deer Lodge Law Enforcement,Anaconda-Deer Lodge Law Enforcement Ctr,,,6036,,46.1229553,-112.9542755,46.1229553,-112.9542755,800 Oak Street,Anaconda,MT,59711
146,K1236,1104692868611,,Anadarko,Anadarko Police Dept,,,5551,,35.0763718,-98.2432558,35.0763718,-98.2432558,106 East Main Street,Anadarko,OK,73005
147,K1236,1104474204215,,Anaheim City,Anaheim City Jail,,,24429,,33.8302786,-117.9192381,33.8302786,-117.9192381,425 South Harbor Boulevard,Anaheim,CA,92805
148,K1237,1104486687461,,Anamosa State,Anamosa State Penitentiary,,,184530,,42.11193,-91.2923679,42.11193,-91.2923679,405 North Iowa Street,Anamosa,IA,52205
149,K1237,1104474264279,,Anchorage Correctional,Anchorage Correctional Complx,,,67445,,61.2186453,-149.8567506,61.2186453,-149.8567506,1400 East 4th Avenue,Anchorage,AK,99501
150,K1236,1104691897482,,Anderson City,Anderson City Jail,,,5357,,34.501179,-82.6493481,34.501179,-82.6493481,401 South Main Street,Anderson,SC,29624
151,K1236,1104488175859,,Anderson County,Anderson County Courthouse,,,19330,,38.2803667,-95.2411998,38.2803667,-95.2411998,100 East 4th Avenue,Garnett,KS,66032
152,K1236,1104487251443,,Anderson County Detention,Anderson County Detention Faclty,,,44000,,36.1237061,-84.1185997,36.1237061,-84.1185997,314 Public Safety Lane,Clinton,TN,37716
153,K1236,1104691897602,,Anderson County,Anderson County Jail,,,32278,,34.5333796,-82.6831553,34.5333796,-82.6831553,1009 David Lee Coffee Place,Anderson,SC,29625
